Actual,Predicted
0.0,0.110981256
0.88,0.8173926
0.78,0.71479774
0.76,0.66757077
0.02,0.10449392
0.11,0.16849668
0.17,0.21675366
0.53,0.5020133
0.54,0.5359566
0.07,0.15671672
0.49,0.49678954
0.96,0.8621855
0.34,0.3661889
0.65,0.60884714
0.16,0.1520367
0.08,0.1259735
1.0,0.9114452
0.67,0.6775768
0.52,0.57682365
0.51,0.5369716
0.58,0.5333761
0.65,0.58362293
0.18,0.20243743
0.2,0.26681188
0.56,0.58232206
0.08,0.14918399
0.35,0.39240453
0.29,0.33893803
0.98,0.880036
0.52,0.5531876
0.57,0.52337533
0.56,0.5305572
0.99,0.945516
0.9,0.7983284
0.05,0.11708287
0.66,0.5920785
0.66,0.61988246
0.42,0.39700776
0.61,0.65301776
0.62,0.6495255
0.55,0.5542655
0.51,0.57009953
0.7,0.6596056
0.45,0.53841275
0.43,0.4760565
0.77,0.7447869
0.67,0.6305474
0.78,0.76322937
0.12,0.16238001
0.95,0.872594
0.16,0.22590068
0.8,0.7443174
0.54,0.4681308
0.7,0.70391786
0.76,0.6917362
0.48,0.5246094
0.33,0.3620973
0.58,0.6495119
0.47,0.4716315
0.67,0.63780624
0.55,0.49967587
0.3,0.2829155
0.59,0.5441126
0.25,0.29498807
0.16,0.20278946
0.46,0.45640558
0.3,0.31385902
0.97,0.88628465
0.59,0.55993223
0.71,0.6707348
0.25,0.28424683
0.11,0.17692795
0.82,0.6984629
0.21,0.2944805
0.87,0.831095
0.81,0.73276776
0.17,0.22100464
0.81,0.78096163
0.38,0.42083088
0.18,0.23375013
0.91,0.8581863
0.99,0.90424275
0.67,0.65471494
0.95,0.8918208
0.03,0.11407243
0.57,0.571344
0.5,0.5024033
0.33,0.34745693
0.8,0.7953483
0.44,0.5022642
0.95,0.85758096
0.6,0.59737945
0.4,0.4327238
0.26,0.2625811
0.79,0.75093603
0.05,0.17308281
0.46,0.43262756
0.29,0.34046653
0.53,0.51061887
0.43,0.48133564
0.88,0.7964733
0.64,0.6389035
0.55,0.57007
0.94,0.8581046
0.74,0.67141384
1.0,0.88643956
0.53,0.50204027
0.89,0.8332182
0.54,0.5582797
0.8,0.76996803
0.7,0.6134789
0.73,0.68433607
0.23,0.2765292
0.01,0.09372613
0.35,0.35443252
0.26,0.2996972
0.22,0.2726429
0.84,0.73866487
0.54,0.5202331
0.15,0.18164569
0.2,0.28547662
0.08,0.20410484
0.45,0.4874489
0.98,0.9487859
0.14,0.18912473
0.15,0.19748795
0.43,0.44070953
0.14,0.21240574
0.26,0.32370648
0.9,0.8094498
0.17,0.17022356
0.97,0.8668047
0.63,0.5992117
0.26,0.313092
0.65,0.6441675
0.59,0.62434924
0.23,0.25074452
0.21,0.23787796
0.56,0.50771075
0.96,0.8979733
0.47,0.4161586
0.12,0.22403827
0.1,0.15109763
0.19,0.24948004
0.77,0.6968328
0.83,0.8314228
0.66,0.62714934
0.93,0.8125239
0.87,0.79644895
0.9,0.81895405
0.42,0.41548082
0.44,0.44765952
0.5,0.47467843
0.29,0.3134233
0.32,0.34192958
0.05,0.114987485
0.37,0.3371685
0.11,0.21664667
0.35,0.35323182
0.04,0.0828448
0.12,0.18905717
0.13,0.19445285
0.98,0.8184898
0.39,0.39354867
0.36,0.36516544
0.56,0.5964192
0.92,0.8476056
0.4,0.3855407
0.12,0.1605534
0.99,0.9632021
0.89,0.83862203
0.06,0.14984998
0.81,0.74182427
0.1,0.17734477
0.89,0.8403319
0.63,0.56618047
0.38,0.38454238
0.42,0.47407457
0.33,0.3403476
0.61,0.57412004
0.57,0.55224323
0.72,0.71344924
0.19,0.27764374
0.99,0.92319643
0.45,0.4153235
0.25,0.28402272
0.02,0.07122932
0.0,0.08456283
0.34,0.35338476
0.71,0.6717684
0.85,0.78452253
0.74,0.6643623
0.13,0.18823576
0.0,0.11077344
0.13,0.17947909
0.32,0.36152425
0.2,0.27260447
0.21,0.27510947
0.02,0.106563136
0.01,0.1393269
0.69,0.64296985
0.99,0.9582602
0.79,0.7138697
0.19,0.26134747
0.13,0.24227473
0.22,0.33115366
0.42,0.4420242
0.67,0.59094334
0.59,0.52581257
0.75,0.7119488
0.09,0.15783486
0.41,0.41861853
0.07,0.14602691
0.19,0.25402558
